Periodo,IGAE
Jan-93,60.41
Feb-93,61.02
Mar-93,63.94
Apr-93,61.87
May-93,63.61
Jun-93,62.88
Jul-93,62.8
Aug-93,62.03
Sep-93,62.02
Oct-93,62.83
Nov-93,63.62
Dec-93,66.12
Jan-94,63.03
Feb-94,62.73
Mar-94,65.79
Apr-94,65.89
May-94,66.86
Jun-94,66.64
Jul-94,64.7
Aug-94,65.8
Sep-94,65.76
Oct-94,66.73
Nov-94,67.85
Dec-94,68.07
Jan-95,65.1
Feb-95,60.29
Mar-95,62.93
Apr-95,59.24
May-95,61.18
Jun-95,61.08
Jul-95,59.78
Aug-95,61.07
Sep-95,60.85
Oct-95,60.22
Nov-95,63.06
Dec-95,65.41
Jan-96,64.6
Feb-96,63.25
Mar-96,65
Apr-96,63.82
May-96,66.57
Jun-96,65.58
Jul-96,65.91
Aug-96,65.36
Sep-96,65.04
Oct-96,67.82
Nov-96,68.56
Dec-96,69.27
Jan-97,67.92
Feb-97,66.02
Mar-97,67.09
Apr-97,70.19
May-97,71.25
Jun-97,70.72
Jul-97,70.48
Aug-97,70.03
Sep-97,70.75
Oct-97,73.24
Nov-97,72.76
Dec-97,73.78
Jan-98,72.28
Feb-98,71.27
Mar-98,75.31
Apr-98,72.95
May-98,75.14
Jun-98,74.65
Jul-98,74.61
Aug-98,73.48
Sep-98,73.77
Oct-98,74.46
Nov-98,74.44
Dec-98,75.68
Jan-99,74.28
Feb-99,72.71
Mar-99,76.99
Apr-99,74.33
May-99,76.92
Jun-99,76.56
Jul-99,76.31
Aug-99,75.67
Sep-99,76.25
Oct-99,76.45
Nov-99,77.67
Dec-99,78.05
Jan-00,77.93
Feb-00,77.37
Mar-00,80.36
Apr-00,77.01
May-00,82.34
Jun-00,81.54
Jul-00,79.63
Aug-00,81.19
Sep-00,80.16
Oct-00,80.81
Nov-00,80.92
Dec-00,79.5
Jan-01,79.42
Feb-01,76.42
Mar-01,80.77
Apr-01,77.53
May-01,81.78
Jun-01,80.61
Jul-01,79.33
